rank_2020,company,usa_primary,usa_uei,usa_link,alt_names_and_children
2,Raytheon Technologies,F,DLHETZ8ULDJ7,https://www.usaspending.gov/recipient/54f1d97a-5805-1932-cd76-9e88d1d4f960-P/latest,
2,Raytheon Technologies,F,EMTACMT2J5Q7,https://www.usaspending.gov/recipient/418fa8e7-6fb2-798d-1fff-3d7885a83c38-P/latest,
2,Raytheon Technologies,F,TRDEKMFH6VM5,https://www.usaspending.gov/recipient/59e216bd-cc05-5c89-b067-9456cfabee5e-P/latest,
2,Raytheon Technologies,F,J1XENDW5R2X7,https://www.usaspending.gov/recipient/3bb01d41-6a01-7dc5-67a7-1f9411906591-P/latest,
2,Raytheon Technologies,F,SYUMJX8SCAH1,https://www.usaspending.gov/recipient/3bb01d41-6a01-7dc5-67a7-1f9411906591-P/latest,
2,Raytheon Technologies,F,G3Q2L41RGGD3,https://www.usaspending.gov/recipient/6f37d9e8-90b9-214d-69dd-57cf5cdaac52-P/latest,
2,Raytheon Technologies,F,UTB5X6K1ENA4,https://www.usaspending.gov/recipient/6f2031fb-faa3-90a5-b229-3859d012bb47-P/latest,
2,Raytheon Technologies,F,FESVT4H66TH7,https://www.usaspending.gov/recipient/09e43005-716f-1e4d-1be3-164685604b15-P/latest,
2,Raytheon Technologies,F,HBRJXKDTRG89,https://www.usaspending.gov/recipient/05840319-bca4-6058-f804-52395d003dce-P/latest,
2,Raytheon Technologies,F,UC9RJQYH1QK3,https://www.usaspending.gov/recipient/197170bc-a52c-bee8-842f-334f0002551c-P/latest,
2,Raytheon Technologies,F,D9DKLKAJ48M9,https://www.usaspending.gov/recipient/48ccf047-0c52-058e-11d3-3e71de2671de-P/latest,
2,Raytheon Technologies,F,NN3QQ1NCT3E9,https://www.usaspending.gov/recipient/0676fa26-5930-78a1-d406-f255e5d2e31f-P/latest,
2,Raytheon Technologies,F,YQ8YG53GSM41,https://www.usaspending.gov/recipient/a2f2e33e-af5e-993c-950e-9d54d1d7a2c2-P/latest,
2,Raytheon Technologies,F,CN53BBKSPGV8,https://www.usaspending.gov/recipient/a3f3368d-2420-d2f2-158f-b7629a65419d-P/latest,
2,Raytheon Technologies,F,HFDPGCDRSNM3,https://www.usaspending.gov/recipient/b59f591e-c769-cc03-d1c1-38a145517497-P/latest,
2,Raytheon Technologies,F,NG4MZLB25W46,https://www.usaspending.gov/recipient/0238be6d-aff1-44f0-cc64-3a68c25a1594-P/latest,
2,Raytheon Technologies,F,WEDJWMAA4Z87,https://www.usaspending.gov/recipient/dadec65a-988f-317e-32cb-8b5cd653023a-P/latest,
2,Raytheon Technologies,F,QHK7MWWAJMQ9,https://www.usaspending.gov/recipient/c1a995a5-dcb1-4f5d-5ab8-c35ea96c0028-P/latest,
2,Raytheon Technologies,F,HBRJXKDTRG89,https://www.usaspending.gov/recipient/05840319-bca4-6058-f804-52395d003dce-P/latest,
