"TIV of arms exports from United States, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 28 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,23,14,,40,0,,14,1,1,1,1,0,,0,,,3,0,1,,138
Denmark,17,36,326,390,30,57,68,60,70,203,139,335,45,101,317,282,11,14,45,3,28,14,13,,39,89,37,38,137,57,399,432,441,218,59,73,,83,88,84,3,15,22,10,51,26,37,64,65,35,27,33,12,8,136,22,8,85,3,0,,,32,28,28,42,102,52,32,,6,226,6089
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,8,,,14
Dominican Republic,2,11,10,21,2,,1,1,2,4,16,11,,7,4,10,9,1,,,1,2,7,0,,2,12,,,,9,5,30,,25,0,,,2,,,,,,,,4,,6,,,5,0,8,35,,,,,,,,,,,1,0,,,,4,,271
DR Congo,,,,,,,,,,,,9,5,28,77,25,16,16,7,,,72,,,,89,1,31,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,1,,6,,427
Ecuador,,,,10,,1,6,,13,,66,,,3,3,29,9,21,5,1,5,2,,5,2,5,60,91,22,12,133,6,5,15,39,8,,18,17,2,3,21,,18,4,22,,43,6,,,,0,,,2,,,,1,10,,,,,,,,,,,,744
Egypt,24,,,,0,,,,,,,,,,,,,,,,,,,,,,56,112,9,339,414,890,1369,985,384,457,1043,1145,306,205,428,835,922,1006,1791,1644,757,882,468,456,819,793,475,345,500,607,472,396,263,82,249,160,177,492,182,592,226,207,194,51,32,22,24260
El Salvador,0,,,,1,1,,17,,,,,,0,,1,1,0,20,3,9,1,,,9,14,10,8,1,1,6,5,32,13,59,41,5,,,,,21,4,,,4,4,,2,,,,19,10,,,,,,,,,2,,,,,1,,,4,7,334
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,5,,10,,,,,,,,18
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,11,,,,,,,,,,,,2,2,2,,2,4,2,31
Ethiopia,,,,6,,,1,15,23,6,17,3,16,27,4,12,97,26,33,2,67,46,5,5,16,51,108,22,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,10,,,,10,,,,662
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Finland,,,,,,,,3,,,,,,,,,,,,,,,,,3,6,,,,,,,16,1,2,,,,1,,,,36,36,,150,344,391,536,761,467,,5,,,,,,9,9,11,2,,50,44,98,65,9,47,44,30,,3175
France,180,476,613,1100,1314,1351,1358,675,1078,745,492,287,105,162,1278,364,67,39,47,9,4,13,13,20,14,13,193,193,193,43,,,,4,,,,84,117,87,26,814,312,18,5,5,3,82,137,92,68,66,18,16,78,2,2,,2,,54,22,38,51,17,17,32,54,46,54,100,7,14964
Gabon,,,,,,,,,,,,,,,,,,,,3,,,,,,35,29,28,2,,,32,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,136
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,2,,,,,1,,,7,6,6,,,30
Germany,,,,,,85,1185,1825,2012,735,887,869,1274,2640,2822,2776,2546,901,818,1006,1269,2224,557,1274,1634,1534,1301,969,622,28,104,190,256,248,258,108,293,320,382,641,678,648,650,524,383,189,164,60,543,75,73,99,42,22,88,51,9,9,262,319,255,35,25,43,46,5,5,3,2,7,17,33,41954
Ghana,,,,,,,,,,,,,,1,,,,1,,,,,7,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,8,,,,,,2,,,,2,2,,4,,,,,,,,32
Greece,95,398,307,85,79,107,92,354,447,286,254,82,330,98,527,488,204,244,72,235,102,306,166,191,418,681,971,440,504,314,245,207,41,96,86,56,87,31,107,762,766,349,1396,361,195,529,102,645,984,274,259,242,177,1530,828,102,20,253,5,921,151,19,6,,61,92,22,25,32,87,1,13,21045
Guatemala,,6,,,2,8,6,,,,16,,1,7,8,5,,1,16,1,,45,1,0,10,28,7,,,,1,38,16,0,7,0,2,0,0,0,0,0,,13,4,4,,,,,,,,,,,,,,,,,,,,,,,4,1,,,260
Guinea,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Guyana,,,,,,,,,,,,,,,,,,,0,,,,,,,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18
Haiti,4,,3,,,,6,1,,,6,,,,1,,,,,2,,,,3,4,1,1,0,9,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Honduras,,1,2,,1,,9,1,12,1,,,14,,,1,5,,,2,,,,2,,31,6,11,,9,13,13,29,12,17,9,66,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,,,2,,,1,,,4,348
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,,4,18,4,,2,,,,,,,,,83
India,,1,67,,52,189,3,3,,,,102,1,94,,,,,2,1,1,2,2,1,1,1,1,,,,,,,,,,2,1,40,1,2,4,2,,7,,1,2,1,2,1,5,3,,,,82,87,3,1,53,202,139,984,1119,265,42,252,23,752,411,425,5436
Indonesia,0,0,0,6,0,1,,14,59,,179,184,15,3,2,1,7,1,0,1,19,86,5,46,71,,82,50,85,56,315,87,187,122,24,11,22,0,56,64,188,2,,2,2,2,17,22,7,23,3,2,4,9,4,4,10,16,12,,,0,35,84,150,83,94,246,90,21,88,91,3177
Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
